ProductID,ProductName,Revenue
38,Côte de Blaye,62976.5
29,Thüringer Rostbratwurst,20796.72
59,Raclette Courdavault,19030.0
62,Tarte au sucre,16022.5
60,Camembert Pierrot,14620.0
17,Alice Mutton,12909.0
56,Gnocchi di nonna Alice,10222.0
72,Mozzarella di Giovanni,9396.0
63,Vegie-spread,9175.1
51,Manjimup Dried Apples,8639.0
28,Rössle Sauerkraut,8618.4
20,Sir Rodney's Marmalade,8586.0
53,Perth Pasties,8232.8
26,Gumbär Gummibärchen,7245.36
71,Fløtemysost,7224.0
35,Steeleye Stout,6642.0
18,Carnarvon Tigers,6625.0
69,Gudbrandsdalsost,6624.0
2,Chang,6479.0
43,Ipoh Coffee,6256.0
16,Pavlova,5898.099999999999
31,Gorgonzola Telino,5725.0
55,Pâté chinois,5712.0
8,Northwoods Cranberry Sauce,5600.0
64,Wimmers gute Semmelknödel,5552.75
39,Chartreuse verte,4788.0
40,Boston Crab Meat,4710.4
30,Nord-Ost Matjeshering,4401.3
27,Schoggi Schokolade,3951.0
11,Queso Cabrales,3822.0
36,Inlagd Sill,3762.0
65,Louisiana Fiery Hot Pepper Sauce,3683.75
49,Maxilaku,3600.0
76,Lakkalikööri,3564.0
14,Tofu,3534.0
44,Gula Malacca,3462.1
57,Ravioli Angelo,3276.0
61,Sirop d'érable,3021.0
1,Chais,2862.0
5,Chef Anton's Gumbo Mix,2754.15
10,Ikura,2635.0
68,Scottish Longbreads,2487.5
70,Outback Lager,2460.0
4,Chef Anton's Cajun Seasoning,2354.0
54,Tourtière,2086.0
58,Escargots de Bourgogne,2053.75
9,Mishi Kobe Niku,1940.0
74,Longlife Tofu,1860.0
46,Spegesild,1740.0
19,Teatime Chocolate Biscuits,1665.1999999999998
32,Mascarpone Fabioli,1664.0
34,Sasquatch Ale,1540.0
66,Louisiana Hot Spiced Okra,1530.0
23,Tunnbröd,1485.0
21,Sir Rodney's Scones,1470.0
77,Original Frankfurter grüne Soße,1404.0
41,Jack's New England Clam Chowder,1341.35
50,Valkoinen suklaa,1137.5
75,Rhönbräu Klosterbier,1116.0
42,Singaporean Hokkien Fried Mee,1078.0
12,Queso Manchego La Pastora,1026.0
37,Gravad lax,1014.0
25,NuNuCa Nuß-Nougat-Creme,994.0
47,Zaanse koeken,959.5
6,Grandma's Boysenberry Spread,900.0
48,Chocolade,892.5
3,Aniseed Syrup,800.0
33,Geitost,790.0
7,Uncle Bob's Organic Dried Pears,750.0
24,Guaraná Fantástica,711.0
73,Röd Kaviar,675.0
13,Konbu,552.0
15,Genen Shouyu,387.5
22,Gustaf's Knäckebröd,378.0
52,Filo Mix,336.0
45,Røgede sild,142.5
67,Laughing Lumberjack Lager,70.0
