ProductID,ProductName,Quantity
31,Gorgonzola Telino,458
60,Camembert Pierrot,430
35,Steeleye Stout,369
59,Raclette Courdavault,346
2,Chang,341
16,Pavlova,338
71,Fløtemysost,336
17,Alice Mutton,331
62,Tarte au sucre,325
33,Geitost,316
54,Tourtière,280
72,Mozzarella di Giovanni,270
56,Gnocchi di nonna Alice,269
39,Chartreuse verte,266
40,Boston Crab Meat,256
53,Perth Pasties,251
38,Côte de Blaye,239
55,Pâté chinois,238
26,Gumbär Gummibärchen,232
63,Vegie-spread,209
68,Scottish Longbreads,199
76,Lakkalikööri,198
36,Inlagd Sill,198
28,Rössle Sauerkraut,189
74,Longlife Tofu,186
69,Gudbrandsdalsost,184
11,Queso Cabrales,182
19,Teatime Chocolate Biscuits,181
49,Maxilaku,180
44,Gula Malacca,178
65,Louisiana Fiery Hot Pepper Sauce,175
30,Nord-Ost Matjeshering,170
29,Thüringer Rostbratwurst,168
57,Ravioli Angelo,168
64,Wimmers gute Semmelknödel,167
23,Tunnbröd,165
70,Outback Lager,164
51,Manjimup Dried Apples,163
1,Chais,159
24,Guaraná Fantástica,158
58,Escargots de Bourgogne,155
14,Tofu,152
21,Sir Rodney's Scones,147
46,Spegesild,145
75,Rhönbräu Klosterbier,144
8,Northwoods Cranberry Sauce,140
41,Jack's New England Clam Chowder,139
43,Ipoh Coffee,136
5,Chef Anton's Gumbo Mix,129
34,Sasquatch Ale,110
77,Original Frankfurter grüne Soße,108
4,Chef Anton's Cajun Seasoning,107
18,Carnarvon Tigers,106
61,Sirop d'érable,106
20,Sir Rodney's Marmalade,106
47,Zaanse koeken,101
13,Konbu,92
66,Louisiana Hot Spiced Okra,90
27,Schoggi Schokolade,90
10,Ikura,85
3,Aniseed Syrup,80
42,Singaporean Hokkien Fried Mee,77
25,NuNuCa Nuß-Nougat-Creme,71
50,Valkoinen suklaa,70
48,Chocolade,70
32,Mascarpone Fabioli,52
52,Filo Mix,48
73,Röd Kaviar,45
37,Gravad lax,39
6,Grandma's Boysenberry Spread,36
12,Queso Manchego La Pastora,27
15,Genen Shouyu,25
7,Uncle Bob's Organic Dried Pears,25
9,Mishi Kobe Niku,20
22,Gustaf's Knäckebröd,18
45,Røgede sild,15
67,Laughing Lumberjack Lager,5
